Timestamp,Username,Category,Action,Detail
2026-05-08 14:49:01,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 14:48:56,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 14:48:54,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 14:48:47,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 14:46:58,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 14:46:49,admin,Annotation,AddAnnotation,Ruler
2026-05-08 14:46:21,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 14:46:13,admin,Annotation,AddAnnotation,Ruler
2026-05-08 14:44:38,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 14:44:29,admin,Annotation,AddAnnotation,Ruler
2026-05-08 14:43:35,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 14:43:27,admin,Annotation,AddAnnotation,Ruler
2026-05-08 14:42:38,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 14:42:30,admin,Annotation,AddAnnotation,Ruler
2026-05-08 14:40:32,admin,Annotation,DeleteAnnotation,Ruler
2026-05-08 14:39:09,admin,Annotation,AddAnnotation,Ruler
2026-05-08 14:39:03,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 14:38:50,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 14:35:04,admin,Annotation,DeleteAnnotation,Ruler
2026-05-08 14:34:58,admin,Annotation,DeleteAnnotation,Ruler
2026-05-08 14:34:55,admin,Annotation,AddAnnotation,Ruler
2026-05-08 14:34:52,admin,Annotation,AddAnnotation,Ruler
2026-05-08 14:31:42,admin,Image Tool,ApplyColorTable,IQI detection: cleared
2026-05-08 14:31:17,admin,Report,GenerateReport,DuplexPlate_With_RT.dcm
2026-05-08 14:31:10,admin,Image Tool,ApplyColorTable,"IQI detected: 18 wires at (172,127) 556x159"
2026-05-08 14:31:06,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 14:30:55,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 14:30:15,admin,Image Tool,ApplyColorTable,IQI detection: cleared
2026-05-08 14:30:02,admin,Report,GenerateReport,DuplexPlate_With_RT.dcm
2026-05-08 14:29:55,admin,Image Tool,ApplyColorTable,"IQI detected: 18 wires at (172,127) 556x159"
2026-05-08 14:29:50,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 14:29:39,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 14:05:03,admin,Image Tool,ApplyColorTable,IQI detection: cleared
2026-05-08 14:04:38,admin,Report,GenerateReport,DuplexPlate_With_RT.dcm
2026-05-08 14:04:31,admin,Image Tool,ApplyColorTable,"IQI detected: 18 wires at (172,127) 556x159"
2026-05-08 14:04:26,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 14:04:16,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 14:04:00,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 14:03:31,admin,Report,GenerateReport,MLE_4_0.237.dcm
2026-05-08 14:03:17,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 14:03:00,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 14:01:59,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 14:01:31,admin,Report,GenerateReport,MLE_4_0.237.dcm
2026-05-08 14:01:17,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 14:00:59,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 14:00:09,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:59:40,admin,Report,GenerateReport,MLE_4_0.237.dcm
2026-05-08 13:59:29,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:59:07,admin,File Operation,ClearFiles,2 file(s)
2026-05-08 13:58:59,admin,Report,GenerateReport,DuplexPlate_With_RT.dcm
2026-05-08 13:58:43,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:57:44,admin,Image Tool,ApplyColorTable,IQI detection: cleared
2026-05-08 13:57:19,admin,Report,GenerateReport,DuplexPlate_With_RT.dcm
2026-05-08 13:57:12,admin,Image Tool,ApplyColorTable,"IQI detected: 18 wires at (172,127) 556x159"
2026-05-08 13:57:07,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:56:57,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:56:09,admin,Image Tool,ApplyColorTable,IQI detection: cleared
2026-05-08 13:55:44,admin,Report,GenerateReport,DuplexPlate_With_RT.dcm
2026-05-08 13:55:37,admin,Image Tool,ApplyColorTable,"IQI detected: 18 wires at (172,127) 556x159"
2026-05-08 13:55:32,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:55:22,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:55:13,admin,Image Tool,ApplyColorTable,IQI detection: cleared
2026-05-08 13:46:45,admin,Image Tool,ApplyColorTable,"IQI detected: 18 wires at (172,127) 556x159"
2026-05-08 13:46:40,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:46:30,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:46:16,admin,Image Tool,ApplyColorTable,IQI detection: cleared
2026-05-08 13:38:03,admin,Image Tool,ApplyColorTable,"IQI detected: 28 wires at (25,1515) 207x375"
2026-05-08 13:36:20,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:36:03,admin,Report,GenerateReport,MLE_4_0.237.tiff
2026-05-08 13:35:01,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:30:46,admin,Report,GenerateReport,MLE_4_0.237.tiff
2026-05-08 13:29:12,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:28:43,admin,Report,GenerateReport,MLE_4_0.237.tiff
2026-05-08 13:25:06,admin,Image Tool,ResetView,
2026-05-08 13:23:37,admin,Image Tool,ResetView,
2026-05-08 13:23:36,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:23:29,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:23:17,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:23:07,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:23:07,admin,Image Tool,ResetView,
2026-05-08 13:23:06,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:22:59,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:22:48,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:22:38,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:22:37,admin,Image Tool,ResetView,
2026-05-08 13:22:36,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:22:29,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:22:18,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:22:09,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:22:08,admin,Image Tool,ResetView,
2026-05-08 13:22:07,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:22:00,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:21:49,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:21:39,admin,File Operation,ClearFiles,1 file(s)
2026-05-08 13:21:38,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:21:35,admin,Image Tool,Flip,Vertical Off
2026-05-08 13:21:34,admin,Image Tool,Flip,Vertical On
2026-05-08 13:21:34,admin,Image Tool,Flip,Horizontal Off
2026-05-08 13:21:33,admin,Image Tool,Flip,Horizontal On
2026-05-08 13:21:32,admin,Image Tool,Rotate,Counter-clockwise 90°
2026-05-08 13:21:32,admin,Image Tool,Rotate,Counter-clockwise 90°
2026-05-08 13:21:30,admin,Image Tool,Rotate,Clockwise 90°
2026-05-08 13:21:30,admin,Image Tool,Rotate,Clockwise 90°
2026-05-08 13:21:22,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
2026-05-08 13:21:07,admin,Authentication,Login,
2026-05-08 13:19:08,admin,Image Tool,ResetView,
2026-05-08 13:19:07,admin,Filter,ApplyFilter,"Fox Bleach (Tile=16, Clip=3.5)"
2026-05-08 13:19:00,admin,Annotation,ClearAnnotations,1 annotation(s)
2026-05-08 13:18:49,admin,File Operation,OpenFile,"1 loaded, 0 skipped, 0 invalid"
