# Line Profile
Position_mm,Intensity
0.0000,34808.71
1.0020,34801.94
2.0040,34808.99
3.0061,34817.92
4.0081,34816.69
5.0101,34810.17
6.0121,34804.48
7.0141,34787.98
8.0162,34743.81
9.0182,34519.46
10.0202,33838.19
11.0222,33354.60
12.0242,33214.71
13.0263,33191.70
14.0283,33210.08
15.0303,33324.27
16.0323,33849.64
17.0343,34457.76
18.0364,34706.28
19.0384,34747.01
20.0404,34754.75
21.0424,34734.34
22.0444,34587.93
23.0465,33984.45
24.0485,33427.44
25.0505,33233.90
26.0525,33198.55
27.0545,33209.34
28.0566,33295.97
29.0586,33719.14
30.0606,34372.84
31.0626,34709.31
32.0646,34773.32
33.0667,34788.59
34.0687,34797.49
35.0707,34803.54
36.0727,34807.93
37.0747,34809.03
38.0768,34807.68
39.0788,34810.27
40.0808,34812.38
41.0828,34809.50
42.0848,34807.87
43.0869,34809.95
44.0889,34815.05
45.0909,34818.23
46.0929,34814.69
47.0949,34814.20
48.0970,34815.90
49.0990,34812.92
50.1010,34808.79
51.1030,34802.42
52.1050,34789.26
53.1071,34743.42
54.1091,34481.46
55.1111,33852.97
56.1131,33369.97
57.1151,33255.15
58.1172,33283.46
59.1192,33547.88
60.1212,34169.59
61.1232,34640.31
62.1252,34744.97
63.1273,34742.69
64.1293,34623.86
65.1313,34114.63
66.1333,33517.12
67.1353,33283.07
68.1374,33264.04
69.1394,33397.03
70.1414,33918.60
71.1434,34523.11
72.1454,34753.55
73.1475,34786.29
74.1495,34795.94
75.1515,34803.39
76.1535,34803.53
77.1555,34807.07
78.1576,34805.94
79.1596,34805.71
80.1616,34810.81
81.1636,34812.48
82.1656,34814.21
83.1676,34816.86
84.1697,34815.84
85.1717,34810.50
86.1737,34805.68
87.1757,34805.59
88.1777,34802.05
89.1798,34799.03
90.1818,34801.11
91.1838,34796.59
92.1858,34784.96
93.1878,34750.76
94.1899,34549.04
95.1919,33992.27
96.1939,33454.63
97.1959,33347.84
98.1979,33549.55
99.2000,34114.77
100.2020,34630.43
101.2040,34727.03
102.2060,34620.47
103.2080,34151.88
104.2101,33545.53
105.2121,33349.46
106.2141,33459.71
107.2161,33949.51
108.2181,34553.18
109.2202,34746.49
110.2222,34779.54
111.2242,34790.06
112.2262,34797.42
113.2282,34802.05
114.2303,34803.49
115.2323,34806.24
116.2343,34811.63
117.2363,34815.46
118.2383,34815.24
119.2404,34815.98
120.2424,34817.87
121.2444,34813.43
122.2464,34811.80
123.2484,34811.96
124.2505,34811.00
125.2525,34808.23
126.2545,34805.94
127.2565,34803.82
128.2585,34802.27
129.2606,34806.65
130.2626,34809.47
131.2646,34803.70
132.2666,34796.27
133.2686,34790.33
134.2707,34790.64
135.2727,34782.73
136.2747,34710.08
137.2767,34363.66
138.2787,33713.67
139.2808,33444.34
140.2828,33707.28
141.2848,34337.00
142.2868,34676.55
143.2888,34581.82
144.2909,34093.49
145.2929,33513.77
146.2949,33498.21
147.2969,33951.88
148.2989,34585.87
149.3010,34765.21
150.3030,34797.68
151.3050,34801.15
152.3070,34802.01
153.3090,34802.74
154.3111,34801.59
155.3131,34807.31
156.3151,34812.98
157.3171,34812.03
158.3191,34811.12
159.3212,34809.81
160.3232,34804.72
161.3252,34801.24
162.3272,34802.36
163.3292,34801.33
164.3313,34795.56
165.3333,34799.58
166.3353,34805.20
167.3373,34801.97
168.3393,34789.68
169.3414,34774.38
170.3434,34715.42
171.3454,34422.33
172.3474,33774.20
173.3494,33614.09
174.3515,34086.29
175.3535,34606.19
176.3555,34521.36
177.3575,33965.19
178.3595,33581.34
179.3616,33886.67
180.3636,34550.64
181.3656,34759.58
182.3676,34794.09
183.3696,34802.46
184.3717,34804.86
185.3737,34804.54
186.3757,34813.51
187.3777,34820.37
188.3797,34821.02
189.3818,34813.05
190.3838,34806.58
191.3858,34811.76
192.3878,34809.23
193.3898,34805.77
194.3919,34802.89
195.3939,34801.54
196.3959,34796.46
197.3979,34799.80
198.3999,34808.89
199.4020,34815.00
200.4040,34820.35
201.4060,34814.12
202.4080,34805.69
203.4100,34784.95
204.4121,34702.01
205.4141,34312.50
206.4161,33780.76
207.4181,34086.58
208.4201,34581.04
209.4222,34356.63
210.4242,33792.40
