# Wall Thickness Measurement
# Thickness,7.2323,mm
# Edge1_position,0.8036,mm
# Edge2_position,8.0359,mm
# Manual_adjustment,False

Position_mm,Intensity,Gradient,InWallRegion
0.0000,46351.76,-414.6498,False
0.1004,46062.13,-546.6380,False
0.2009,45629.81,-766.3705,False
0.3013,45650.38,-1092.0384,False
0.4018,45324.74,-1518.6461,False
0.5022,44789.65,-2006.8463,False
0.6027,43674.94,-2483.5622,False
0.7031,39860.50,-2859.2189,False
0.8036,33384.40,-3056.6180,True
0.9040,27588.17,-3038.6191,True
1.0045,23866.99,-2820.4003,True
1.1049,21487.25,-2460.4985,True
1.2054,19755.92,-2036.9531,True
1.3058,18627.67,-1620.5300,True
1.4063,17731.82,-1258.0579,True
1.5067,17093.28,-968.8245,True
1.6072,16510.20,-749.9594,True
1.7076,15979.14,-587.3076,True
1.8081,15513.02,-464.7699,True
1.9085,15141.49,-367.6865,True
2.0090,14848.90,-283.8905,True
2.1094,14600.77,-206.0730,True
2.2099,14323.35,-132.5299,True
2.3103,14209.25,-65.5941,True
2.4108,14177.99,-9.8917,True
2.5112,14468.69,29.6693,True
2.6117,14676.06,50.3261,True
2.7121,14910.91,53.0373,True
2.8126,15007.18,42.3124,True
2.9130,14891.87,24.4530,True
3.0135,14892.19,5.4474,True
3.1139,14871.56,-10.6838,True
3.2144,14764.32,-22.4231,True
3.3148,14706.54,-30.1128,True
3.4153,14787.27,-34.9913,True
3.5157,14755.66,-38.2542,True
3.6162,14615.39,-40.7480,True
3.7166,14566.71,-42.7560,True
3.8171,14593.44,-43.7914,True
3.9175,14580.97,-43.0791,True
4.0180,14523.50,-39.6473,True
4.1184,14369.38,-33.0334,True
4.2189,14271.32,-24.1203,True
4.3193,14232.78,-14.6709,True
4.4197,14356.08,-6.4484,True
4.5202,14464.99,-0.3063,True
4.6206,14461.09,4.1623,True
4.7211,14387.02,8.0674,True
4.8215,14330.86,12.1421,True
4.9220,14255.42,15.7299,True
5.0224,14375.35,17.1388,True
5.1229,14501.19,14.7207,True
5.2233,14570.63,8.0492,True
5.3238,14635.56,-1.3191,True
5.4242,14526.48,-10.5359,True
5.5247,14426.72,-16.8838,True
5.6251,14385.80,-18.9628,True
5.7256,14339.81,-17.0666,True
5.8260,14349.79,-12.9010,True
5.9265,14289.11,-8.7143,True
6.0269,14389.72,-6.1890,True
6.1274,14431.94,-5.8845,True
6.2278,14375.03,-7.2239,True
6.3283,14385.26,-8.8533,True
6.4287,14375.44,-9.3786,True
6.5292,14294.75,-7.9195,True
6.6296,14246.10,-4.1020,True
6.7301,14305.36,1.7020,True
6.8305,14298.15,8.6716,True
6.9310,14318.20,16.2468,True
7.0314,14309.30,24.1129,True
7.1319,14321.90,32.6926,True
7.2323,14435.81,43.3188,True
7.3328,14488.83,58.0382,True
7.4332,14507.73,79.0853,True
7.5337,14416.32,107.4525,True
7.6341,14553.81,141.8588,True
7.7346,14613.75,178.3152,True
7.8350,14761.80,210.7790,True
7.9355,15286.85,233.0929,True
8.0359,15605.28,241.0721,True
8.1364,16005.40,233.9387,False
8.2368,16289.39,214.5815,False
8.3373,16462.43,188.4106,False
8.4377,16585.72,161.4671,False
8.5382,16632.64,138.4749,False
8.6386,16762.52,122.0486,False
8.7391,16785.92,112.7623,False
8.8395,16875.75,109.5355,False
8.9399,17018.95,110.9601,False
9.0404,17172.51,115.5174,False
9.1408,17265.99,121.4605,False
9.2413,17274.73,126.9672,False
9.3417,17396.46,130.1655,False
9.4422,17676.06,129.6025,False
9.5426,17922.95,124.8580,False
9.6431,18018.92,117.1634,False
9.7435,18107.61,108.8648,False
9.8440,18106.04,102.3306,False
9.9444,18176.24,99.0367,False
10.0449,18312.95,99.1422,False
10.1453,18395.36,101.5724,False
10.2458,18427.00,104.5064,False
10.3462,18641.36,106.3105,False
10.4467,18771.57,106.0570,False
10.5471,18860.69,103.4757,False
10.6476,18948.62,99.1729,False
10.7480,19106.31,94.5955,False
10.8485,19210.92,91.4474,False
10.9489,19211.63,91.1302,False
11.0494,19271.76,94.1167,False
11.1498,19313.31,99.4643,False
11.2503,19374.57,105.0422,False
11.3507,19593.78,108.6680,False
11.4512,19848.98,108.9311,False
11.5516,19883.53,105.6138,False
11.6521,19998.47,99.5914,False
11.7525,20055.94,92.0411,False
11.8530,20133.38,83.8178,False
11.9534,20217.76,75.2725,False
12.0539,20332.73,66.5394,False
12.1543,20410.15,57.7962,False
12.2548,20450.04,49.4578,False
12.3552,20469.77,42.2526,False
12.4557,20450.41,36.9585,False
12.5561,20515.03,33.9444,False
12.6566,20593.83,33.2732,False
12.7570,20579.11,34.7055,False
12.8575,20513.45,37.5163,False
12.9579,20590.81,40.6899,False
13.0584,20708.34,43.2022,False
13.1588,20765.71,44.3808,False
13.2592,20801.99,44.1032,False
13.3597,20839.04,42.7758,False
13.4601,20875.52,40.9991,False
